TF,Target,Correlation
LINC02006,DPP6,0.5645077418726371
KCNT2,BNC2,0.564251466038704
ZBTB7C,C3,0.5641790060632698
MLXIPL,PFKFB1,0.564170328073547
CADPS,LOC105379003,0.5636147847103264
NTNG1,ANXA8,0.5635587575505766
MLXIPL,GPD1,0.5632816049217295
C3,HAS1,0.562769590811887
BNC1,C3,0.5626392158557715
PRG4,SEMA3C,0.5625572721477562
SULF1,ANXA8,0.562419913427236
LEPR,LINC02388,0.5619074049410454
SLC4A4,SULF1,0.5617038727766929
LVRN,PFKFB1,0.5616876371985385
ZNF385B,LOC105379003,0.5613248134438296
CDON,ZBTB7C,0.5604412412303882
LOC124901051,ADAMTSL1,0.5603738302609876
LOC124901051,NRG1,0.5602457259946672
LINC02273,PANK1-AS1,0.5600660413689171
LEPR,PCDH7,0.5600634448144428
LOC105379003,LINC02248,0.5597478348627493
NEGR1,ABCA6,0.5595691688908286
LINC02607,GPD1,0.5589808456747476
LRP2,BNC1,0.5586173552733001
BMP6,NRG1,0.5582699334851408
DPP6,PTPRQ,0.5582470835691532
LSAMP,SLC4A4,0.5581803054476409
SULF1,CDON,0.5581587369559783
CIDEC,ADIPOQ,0.5581508477117719
MYRIP,EMCN,0.5580327291402583
EZR,ANXA8,0.5580193950830423
PDE3B,PLIN1,0.5579772292132587
GPM6A,PTPRQ,0.5575477843599108
KANK4,PLIN1,0.5575129639266414
NEGR1,CDH19,0.5571233671125599
PCDH7,SMOC1,0.5570563916015541
SLIT3,RBFOX1,0.5569746896223665
ROR2,ANXA8,0.5567911762317036
GPAM,PLIN5,0.5566854299350896
CADPS,FGF12,0.5563686620007803
SLC4A4,MCTP2,0.5563644414226954
MLXIPL,TRHDE-AS1,0.5562981456705185
CHRM2,LINC02248,0.5559034686754192
GPD1,TRHDE-AS1,0.5551028539834264
LVRN,CIDEA,0.5550784540349105
SEMA3C,CDON,0.5548850686851943
LINC02388,SMOC1,0.5547441808670882
GPD1,TRARG1,0.5541880991001866
TRHDE-AS1,PFKFB1,0.5540532442695031
TRHDE-AS1,CIDEA,0.5538543534729298
SLC4A4,ZBTB7C,0.5537062175152638
ZNF385B,CHRM2,0.5535019672935411
FYB2,ANXA8,0.5532664147522058
LOC124901051,PCDH15,0.5532424472183453
NEGR1,COL24A1,0.553224378759667
DPP6,RBFOX1,0.5531365013965294
PRG4,PTPRQ,0.5530475592825256
LOC105379003,RBM20,0.5510001603716742
SCN7A,CDH19,0.5503250348458759
SEMA3C,SULF1,0.5502675065956194
PCDH7,CDH11,0.5502176164556529
PECR,PLIN1,0.5498829785151438
LRP2,SLC4A4,0.549397169772453
CDON,MCTP2,0.5492782280495149
LINC02607,LVRN,0.548732635777745
EGFL7,VWF,0.5485717631736543
KLB,PLIN1,0.5484003632839668
BNC1,RBFOX1,0.5483293041138848
TTN,MYBPC3,0.5481065671295127
LINC02607,SLC19A3,0.5476594890135364
TTN,LDB3,0.5474333057067106
CACNA2D3,SLIT3,0.5471910946560561
LRP2,SULF1,0.5471133369562277
KANK4,GPD1,0.5465661792253032
LINC02237,PLIN1,0.5465450382921059
SULF1,BNC1,0.5464413310226051
LSAMP,CDON,0.5464052456029402
SLC19A3,TRARG1,0.5462343300379229
LOC729732,ANXA8,0.546223734431656
LSAMP,RBFOX1,0.5462200061284723
NPR3,LOC124901051,0.5458548592862565
TTN,CHRM2,0.5456415088407727
KANK4,GPAM,0.5454544523750431
SLC19A3,PFKFB1,0.545410299106484
CHRM2,RBM20,0.54454374605667
NTNG1,PRG4,0.5443012263246615
KCNT2,GPM6A,0.5441322432682704
PRG4,GPM6A,0.5440316020485833
LSAMP,C3,0.5437844054925512
PCDH7,POSTN,0.5437477973418225
MCTP2,C3,0.5436708868585561
LVRN,TRHDE-AS1,0.543218503917679
